asli;olah;target
"@20marchbaby Waaah... semoga baik2 aja 😘
Kalo aku tepar 2 hari soalnya, sedangkan suamiku baik2 aja ky ga abis vaksin sama sekali.. 🥲";;neutral
Halo, adakah disini yg dari luar pulau Jawa i.e Sumatera, Sulawesi, Bali, Maluku, Papua dsb, yg merantau kerja di J… https://t.co/zBoLRml42S;Halo, adakah disini yg dari luar pulau Jawa i.e Sumatera, Sulawesi, Bali, Maluku, Papua dsb, yg merantau kerja di JKT dan orang tua masih tinggal di luar pulau Jawa? Saya sedang butuh subject buat diinterview soal vaksin. Thanks.;neutral
Begitu juga meski penularan sudah turun, program vaksinasi tidak boleh dikendorkan. Upaya membangun herd immunity t… https://t.co/nWa7tNnqbD;"Begitu juga meski penularan sudah turun, program vaksinasi tidak boleh dikendorkan. Upaya membangun herd immunity terus dipercepat. #StokVaksinTerkendali
";positive
Bhabin Aiptu W. Sihombing melaksanakan Pengamanan dan monitor pelaksanaan Vaksinasi tahap I bagi Murid- Murid SMP N… https://t.co/R1UshofkRe;Bhabin Aiptu W. Sihombing melaksanakan Pengamanan dan monitor pelaksanaan Vaksinasi tahap I bagi Murid- Murid SMP Negeri 3 Dolok Masihul. Adapun Jumlah Murid 196 Orang dan yang di Vaksin sebanyak 153 Orang.;neutral
Sumbangan mengharukan Jimin BTS untuk penyandang polio nih. https://t.co/BrvXUGUoBr;;neutral
Seiring upaya percepatan vaksinasi, Jmasyarakat untuk tetap disiplin melaksanakan protokol kesehatan.… https://t.co/hI0cyUPZC6;"Seiring upaya percepatan vaksinasi, Jmasyarakat untuk tetap disiplin melaksanakan protokol kesehatan. #StokVaksinTerkendali
";neutral
@jogmfs aku jadwalnya di sana, di kartu tgl 15 sih harusnya. tapi di RSnya jadwalin tgl 23 24 trus aku udh vaksin d… https://t.co/zmnczveq4y;"aku jadwalnya di sana, di kartu tgl 15 sih harusnya. tapi di RSnya jadwalin tgl 23 24 trus aku udh vaksin di luar kota di tgl 15 kemaren
";positive
"Kegiatan Vaksin Merdeka Bagi Pelajar di SMAN 1 SIANTAN , Rabu (22/9/2021).

#Poldakalbar
#Polresmempawah… https://t.co/YMkEFxnEdd";;neutral
Pejuang vaksin ke 2🙃;;negative
"""Mari bersama kita dorong kelompok lansia untuk segera divaksin. Yakinkan, daftarkan dan antarkan mereka ke tempat… https://t.co/KOpTcafeXO";"""Mari bersama kita dorong kelompok lansia untuk segera divaksin. Yakinkan, daftarkan dan antarkan mereka ke tempat vaksinasi terdekat,"" imbau Menkominfo. #StokVaksinTerkendali
";positive
"aku curiga sama vaksin dosis 2 kemarin. keknya ngga disuntik AZ tapi disuntik cairan malas bekerja.

bawaannya ngan… https://t.co/4axbDtQBSV";"aku curiga sama vaksin dosis 2 kemarin. keknya ngga disuntik AZ tapi disuntik cairan malas bekerja.

bawaannya ngantuk dan letoy mulu seharian 😴";negative
Tadi pagi pi ppv nak send adik aku vaksin perhhh ramai wei dak sekolah;;negative
Menkominfo juga mengungkapkan, hingga 20 September pukul 18.00, baru 27,45% dari sasaran vaksinasi kelompok lansia… https://t.co/Uc4xyAN4at;"Menkominfo juga mengungkapkan, hingga 20 September pukul 18.00, baru 27,45% dari sasaran vaksinasi kelompok lansia yang sudah vaksin dosis pertama dan 19,25% yang sudah mendapatkan dosis lengkap. #StokVaksinTerkendali
";neutral
Johnny mendorong pemerintah daerah, terutama yang capaian vaksinasinya masih rendah, untuk melakukan percepatan dan… https://t.co/FtAC2WHYpw;"Johnny mendorong pemerintah daerah, terutama yang capaian vaksinasinya masih rendah, untuk melakukan percepatan dan perluasan program vaksinasi. #StokVaksinTerkendali
";positive
@ivanalarassiwi Harus pake pedulilindungi atau pake kartu vaksin bisa ras?;;neutral
@KecGedebage @basukirakh @DiskominfoBdg @halo_bandung Min,  mau tanya info vaksin yg ke 2 tgl 24 jamnya tetep seper… https://t.co/7vJ3TlWQzJ;"Min,  mau tanya info vaksin yg ke 2 tgl 24 jamnya tetep seperti vaksin ke 1 jam 2, atau dari pagi yaa?
";neutral
Ni efek vaksin kali ya, makan dah banyak tapi masi laper terus😑;;neutral
"""Kedatangan vaksin menunjukkan stok vaksin aman,"" ujarnya. #StokVaksinTerkendali
https://t.co/ouRWqltZ5Z";;positive
@unie_unun Harus vaksin lg apa gimana kalo case nya begini ya?;;neutral
@leejenonogf maksudnya jangka buat balik vaksin keduanya;;neutral
"Waktu cepat berlalu ga berasa udah 3 bulan aja waktunya untuk aqu &amp; mama aqu vaksinasi ke dua Covid 19 hari Rabu,22… https://t.co/BaRlwzk5B7";"Waktu cepat berlalu ga berasa udah 3 bulan aja waktunya untuk aqu & mama aqu vaksinasi ke dua Covid 19 hari Rabu,22 September 2021 di Kompas Gramedia,Jakarta Pusat 😊😇. Makacih Bapak Joko Widodo yang sudah memberikan vaksin pertama & kedua Covid 19 gratis 😘😘😘😘😘 🙏🙏🙏😊😇
";positive
@HumasPolresTem1 Polri menggelar Vaksinasi Massal Dosis Dua di gerai vaksinasi masyarakat bisa mendapatkan vaksin C… https://t.co/PbkmF328gf;"Segera lakukan vaksinasi demi menekan penyebaran covid-19 membuat pandemi ini menjadi enemi

#PercepatKekebalanKomunal
Tercapai Herd Immunity";neutral
Kedatangan vaksin ini, merupakan salah satu wujud keberhasilan upaya diplomasi pemerintah Indonesia, yang akan teru… https://t.co/ChJHBv65DI;"Kedatangan vaksin ini, merupakan salah satu wujud keberhasilan upaya diplomasi pemerintah Indonesia, yang akan terus ditingkatkan dan dioptimalkan. #StokVaksinTerkendali
";neutral
@iIovebubu Udaa, kmu vaksin dosis brapa?;;neutral
Wuish ramai gi vaksin bwk pc nanti bila aku nk vaksin aku nk bwk sape kalau album nct 127 seoul city kalau dpt pull… https://t.co/uU591Biey1;;neutral
Melewati gunung dan lembah demi vaksin 🛵 https://t.co/7iIeZNCA9M;"Melewati gunung dan lembah demi vaksin 🛵
";positive
@enhypen_fess Yah gabisa begadang besok vaksin klo ditempatku jam 23.00 soalnya 😭😭;;neutral
Kerja sama yang dilakukan bersifat bilateral dan multilateral, tidak hanya yang bersifat G to G, juga dengan berbag… https://t.co/3Jyee8BUEs;"Kerja sama yang dilakukan bersifat bilateral dan multilateral, tidak hanya yang bersifat G to G, juga dengan berbagai lembaga.  #StokVaksinTerkendali
";neutral
Johnny menambahkan, dalam upaya menyediakan vaksin bagi rakyat Indonesia, pemerintah mengoptimalkan upaya diplomasi… https://t.co/wky27fZKKL;"Johnny menambahkan, dalam upaya menyediakan vaksin bagi rakyat Indonesia, pemerintah mengoptimalkan upaya diplomasi antarnegara.  #StokVaksinTerkendali
";neutral
"@__Sridiana_3va ""Apa... Oooo iya pak bu, mohon maaf sebelumnya, bener bahwa anak bapak ibu udah saya vaksin lebih d… https://t.co/rxqSpiyFpP";"""Apa... Oooo iya pak bu, mohon maaf sebelumnya, bener bahwa anak bapak ibu udah saya vaksin lebih dulu, dan sekarang sedang mengandung Si Nova""
";neutral
After vaksin eheheheheheheheh seneng banget Alhamdulillah;;positive
@xnjaylee abis vaksin ta, taa udah vaksin?;;neutral
@cheerfuluna offline cuy jgn lupa vaksin y 🥶;;positive
"""Pemerintah berupaya keras agar tidak terjadi kekosongan stok vaksin,"" tegas Menkominfo. #StokVaksinTerkendali
https://t.co/531UYIUNDb";;neutral
KARANGANYAR - Rabu 22 September 2021 Sertu Mukti anggota Koramil 03/Kebakkramat dan anggota Polsek Kebakkramat mela… https://t.co/jd3CnMxUNI;"KARANGANYAR - Rabu 22 September 2021 Sertu Mukti anggota Koramil 03/Kebakkramat dan anggota Polsek Kebakkramat melaksanakan pengamanan dan pemantauan vaksin di desa Kebak  Kec. Kebakkramat Kab. Karanganyar.
";neutral
KARANGANYAR - Rabu 22 September 2021 Sertu Mukti anggota Koramil 03/Kebakkramat dan anggota Polsek Kebakkramat mela… https://t.co/XQbmVjMrJn;"KARANGANYAR - Rabu 22 September 2021 Sertu Mukti anggota Koramil 03/Kebakkramat dan anggota Polsek Kebakkramat melaksanakan pengamanan dan pemantauan vaksin di desa Kebak  Kec. Kebakkramat Kab. Karanganyar.
";neutral
@banjarbase Sudaah, and harus sdh be vaksin min 1x;;positive
"Pemerintah mengejar target pada akhir 2021, 70% masyarakat Indonesia sudah divaksinasi. #StokVaksinTerkendali
https://t.co/531UYIUNDb";;neutral
@mks_fess Boleh kok beda tempat. Selama menyediakan vaksin sesuai vaksin I mu;;neutral
Menkominfo Johnny G Plate mengatakan, pemerintah masih akan terus mendatangkan vaksin dan segera melakukan distribu… https://t.co/xzcsC8gGQR;"Menkominfo Johnny G Plate mengatakan, pemerintah masih akan terus mendatangkan vaksin dan segera melakukan distribusi lokasi di seluruh Indonesia. #StokVaksinTerkendali
";neutral
@jaevnayun Sedang menangisi data vaksin 🙏🙏 ga kelar2 🙏;;neutral
@BTS_twt Buat army yang dokter aku mau nanya,ini gappa minum obat ini,aku abis vaksin btw https://t.co/YBF3jp6weH;"Buat army yang dokter aku mau nanya,ini gappa minum obat ini,aku abis vaksin btw
";positive
KARANGANYAR - Rabu 22 September 2021 Sertu Mukti anggota Koramil 03/Kebakkramat dan anggota Polsek Kebakkramat mela… https://t.co/e3Qc9nQiN1;"KARANGANYAR - Rabu 22 September 2021 Sertu Mukti anggota Koramil 03/Kebakkramat dan anggota Polsek Kebakkramat melaksanakan pengamanan dan pemantauan vaksin di desa Kebak  Kec. Kebakkramat Kab. Karanganyar.
";neutral
Sehingga total, vaksin yang sudah tiba di tanah air dalam bentuk bulk atau bahan baku maupun bentuk jadi adalah 267… https://t.co/FVHBhvKWKb;"Sehingga total, vaksin yang sudah tiba di tanah air dalam bentuk bulk atau bahan baku maupun bentuk jadi adalah 267.550.400 dosis. 
#StokVaksinTerkendali
https://covid19.go.id/berita/52-juta-dosis-tiba-di-tanah-air-pemerintah-pastikan-stok-vaksin-aman";neutral
@warmthrill @moonareas vaksin astra sampe 3 bulan?;;neutral
"efek vaksin ke-2 lebih parah dari yg pertamaa.
dua harian ini lemes, puyeng, demam, kalo orang² malah nafsu makan l… https://t.co/lhibScjIeY";;negative
Kemudian pada tahap ke-72, juga tiba 200 ribu dosis vaksin Sinopharm. Vaksin tersebut merupakan hibah dari Red Cros… https://t.co/HrJ6dRraq8;"Kemudian pada tahap ke-72, juga tiba 200 ribu dosis vaksin Sinopharm. Vaksin tersebut merupakan hibah dari Red Cross of Society China melalui mekanisme bilateral.  
#StokVaksinTerkendali
https://covid19.go.id/berita/52-juta-dosis-tiba-di-tanah-air-pemerintah-pastikan-stok-vaksin-aman";neutral
@bertanyarl Mau tanya stok vaksin sinovac terakhir kapan ya ada yang tau ga?;;neutral
Hy ges, ak hbis vaksin....;;positive
Habis vaksin badan langsung melehoy;;negative
Aku nak vaksin cepat pls🥺;;positive
"Nasib WNI yang vaksin sinovac ama astra gk bisa jalan2 ke US beratti ya ..

😭😭 https://t.co/BR1MMRrmJU";;neutral
Vaksin Covid-19 bermanfaat untuk memberi perlindungan tubuh agar tidak jatuh sakit akibat Covid-19 dengan cara meni… https://t.co/69w4Tb9haf;"Vaksin Covid-19 bermanfaat untuk memberi perlindungan tubuh agar tidak jatuh sakit akibat Covid-19 dengan cara menimbulkan kekebalan spesifik dalam tubuh.

#PercepatKekebalanKomunal
Tercapai Herd Immunity";positive
Sekarang dimana mana syaratnya harus udah di vaksin. Gimana yg belum bisa di vaksin karna baru sembuh dari covid, d… https://t.co/I3FG3KbxFn;"Sekarang dimana mana syaratnya harus udah di vaksin. Gimana yg belum bisa di vaksin karna baru sembuh dari covid, dll.
Apa gak ada kompensasi nya?";negative
Indonesia kedatangan dua tahap vaksin. Vaksin tahap ke-71 berupa 5 juta dosis vaksin Sinovac dalam bentuk jadi. Tot… https://t.co/CYVP6ydhzF;"Indonesia kedatangan dua tahap vaksin. Vaksin tahap ke-71 berupa 5 juta dosis vaksin Sinovac dalam bentuk jadi. Total vaksin jadi Coronavac keluaran Sinovac yang sudah tiba di Indonesia adalah 58.776.000. 
#StokVaksinTerkendali
https://covid19.go.id/berita/52-juta-dosis-tiba-di-tanah-air-pemerintah-pastikan-stok-vaksin-aman";neutral
@moonareas ini trial apa jangka vaksin astra anjir;;negative
"@flunchashlan Vaksin beb, masa bagi"" sembako😭";;positive
"Pfizer-BioNTech: Vaksin Covid-19 Aman dan Protektif Untuk Anak-anak

https://t.co/Op11z7BV04

#Pfizer #BioNTech #Corona #COVID19Vic #COVID19";;positive
cuma di indonesia who bisa tersenyum bahkan tertawa geli,, liat antrian vaksin dan negara kacung ny bgt tunduk dan… https://t.co/N7jYizGVGP;"cuma di indonesia who bisa tersenyum bahkan tertawa geli,, liat antrian vaksin dan negara kacung ny bgt tunduk dan mengabdi smp anak kecil aja nangis pun tanpa ampun di bejek di paksa suntik fucksin, sebagian warga ny girang banget di vaksin,, https://twitter.com/Helmi_Felis/status/1440276894776127498
";negative
'Act of God': PAS lagi baik. DAP turunkan cabutan judi 8 kali setahun, PAS naikkan jadi 22 kali setahun. DAP perunt… https://t.co/4fVkVDvxvf;"Act of God': PAS lagi baik. DAP turunkan cabutan judi 8 kali setahun, PAS naikkan jadi 22 kali setahun. DAP peruntukkan RM100 juta utk sekolah tahfiz, tapi PAS terpaksa tutup sekolah tahfiz alasannnya kurang dana.

Malah dibukaknya casino dan judi utk mereka yg lengkap vaksin ✌️";neutral
@penikmatbujank Vaksin yank😭😭😭 hajatan;;neutral
@radenwijaya_1 Buruan sdh masuk No antrian 105😬😬😬 antri vaksin;;negative
Kalau lepas vaksin 2nd dose tiba-tiba sakit perut, itu kita panggil front effect ke bottom effect?;;neutral
knp habis vaksin jd ngantuk bgt bgt bgt ya😭;;positive
"@clovergyul Beda-beda gini ya 🤣
Aku sertif yg pertama gak ada pemberitahuan apa-apa, tau-tau langsung ada aja.
Tadi… https://t.co/YJTadMLNp2";;neutral
Penumpang Kapal yang Hendak ke Simeulue Wajib Tunjukkan Sertifikat Vaksin https://t.co/s4o2CXmBnq https://t.co/AvXpxJztdG;Penumpang Kapal yang Hendak ke Simeulue Wajib Tunjukkan Sertifikat Vaksin http://dlvr.it/S82Rkq;neutral
Bisa2nya w lupa mau vaksin ke 2;;negative
@KelianBanjar_GK @puanmaharani_ri @jokowi Berkat Peran DPR vaksin akan merata;;neutral
vaksin astra lama banget nunggu 3 bulan 💔 e tapi nanti tanggal 24 vaksin ke dua si GA SABAR BANGET 😍🥰;;positive
@hanya_paa ada. ga berani protes soalnya bakal denda 500k kl gak mau vaksin hahahaha;;negative
"Vaksinasi santri Babul Khaer Bulukumba.
Saya Anak Pondok Sudah Vaksin!

#PercepatKekebalanKomunal
Tercapai Herd Imm… https://t.co/xNXmP6UaCT";;neutral
Jaswal Vaksin di DMall Depok, 22-26 September https://t.co/xT77ej5XFa;;neutral
baru siap vaksin asliii sakit bgt kek pegel pegel gt tgn gw;;negative
Manfaat vaksin Covid-19 salah satunya adalah mencegah virus corona menyebar yang memungkinkannya bermutasi dan hing… https://t.co/2JtkWDbsH2;"Manfaat vaksin Covid-19 salah satunya adalah mencegah virus corona menyebar yang memungkinkannya bermutasi dan hingga menjadi lebih kebal terhadap vaksin.

#PercepatKekebalanKomunal
Tercapai Herd Immunity https://instagram.com/p/CUHPfF-vY_m/?utm_medium=twitter";positive
Sejuk gila dlm opis ni.. Balik kompom gatal kaki sbb kulit kering.. Sensitive btoi kulit sejak vaksin ni;;negative
@dinaskominfokp Untuk vaksin di Kalibawang, bisa mendaftar di Dukuh masing-masing atau langsung cuss isi formulir:… https://t.co/yOKcD2ornu;"Untuk vaksin di Kalibawang, bisa mendaftar di Dukuh masing-masing atau langsung cuss isi formulir:
⤵️";neutral
Tadi, anterin vaksin jeng sri (yeay, jeng sri dah full vaccinated!) ga ada niatan minta duluan. Tapi kalau tiba-tib… https://t.co/SI3qI36bjX;"Tadi, anterin vaksin jeng sri (yeay, jeng sri dah full vaccinated!) ga ada niatan minta duluan. Tapi kalau tiba-tiba petugasnya nyamperin dan nanya dapet antrian berapa, dan lalu diduluin (?).

Itu masuk kategori nyerobot atau buah perilaku terdahulu?";positive
Dengan menurunkan laju infeksi Covid-19 dan memutus mata rantai pandemi Covid-19, kita pun dapat melindungi generas… https://t.co/xfvgJ4TcdV;"Dengan menurunkan laju infeksi Covid-19 dan memutus mata rantai pandemi Covid-19, kita pun dapat melindungi generasi selanjutnya dari penderitaan panjang terinfeksi Covid-19 dengan vaksin.

#PercepatKekebalanKomunal
Tercapai Herd Immunity";positive
Hii, gw baru balik vaksin ke-2;;positive
"@EndroSu76984480 @S4H4B4T6 Sendiri dong...
Knp mau di VAKSIN";;neutral
Jog ada yang punya info vaksin dosis 2 astrazeneca? Lagi nyari tapi kebanyakan buat sinovac 😔;;neutral
abis vaksin boleh kah minum yg manis manis dingin gitu??;;neutral
Habis vaksin kmrn, hari ini gak masak. Untung ada Hebit ya. Wkwk. Solusi biar makannya ttp sehat. Ini aku beli pepe… https://t.co/6tWddx8aDb;Habis vaksin kmrn, hari ini gak masak. Untung ada Hebit ya. Wkwk. Solusi biar makannya ttp sehat. Ini aku beli pepes tuna. Nasinya pake nasi merah. Ada tambahan telur plus ada sayuran n sambel. Pake promo gràb, sekotak cuma 15ribu aja. Isinya lupa kefoto soalnya dah laper. 😅;positive
@NoviAryani saya jg lihat yg di IG itu terkait vaksin moderna/pfizer buat anak kan ya. tapi masih hasil penelitian… https://t.co/dqhrdnumqW;"saya jg lihat yg di IG itu terkait vaksin moderna/pfizer buat anak kan ya. tapi masih hasil penelitian kan. klo sy sih biar kita aja dlu yg dewasa yg pake sesuai kondisi saat ni, klo anak2 di bawah 12 tahun tunggu aja klo sampai study kohort/jangka panjangnya ada hasilnya
";neutral
abis vaksin membuat ku ampuh untuk tidur siang;;positive
"Polres Kudus dan BEM UMK Suntikkan Tiga Ribu Dosis Vaksin 

Selengkapnya klik tautan berikut ini.
#Kudus #Polres… https://t.co/VTuvOdr5qs";;neutral
@bertanyarl Alhamdulillah gas ke puncak weekend, akhirnya bisa nongkrong lagi sama temen kampus. Apa lagi udah vaks… https://t.co/t3gciQwtzQ;"Alhamdulillah gas ke puncak weekend, akhirnya bisa nongkrong lagi sama temen kampus. Apa lagi udah vaksin jadi bisa buka masker 😁
";positive
"Akhirnya vaksin jugaaa... 
Smoga sehat selalu tubuhkuuu";;positive
pas vaksin nya ga kerasa apa apa anjr, tpi pas udahan nya itu lho😭 cape semua badan nya pls;;positive
@qiyekkkkk (berlaku untuk pulau Jawa dan Sumatera). Lalu penumpang wajib menunjukkan kartu vaksin minimal dosis per… https://t.co/U8gj0wlOvV;"(berlaku untuk pulau Jawa dan Sumatera). Lalu penumpang wajib menunjukkan kartu vaksin minimal dosis pertama. Informasi syarat dan ketentuan perjalanan, silakan cek link http://bit.ly/sknaikkereta. Trims. |3
";neutral
"Formulir Pendaftaran Vaksin 23 September di Kalibawang:
Klik untuk Daftar
⤵️
https://t.co/sGyf0j2Sje";;neutral
w vaksin brngkat jam set9 balik jam 1 siang😔;;neutral
@Pretty_L4d7 Bagus berarti masih kuat anti bodinya,, vaksin itu kan harusnya ga boleh d paksa sprti kasus yg sdh te… https://t.co/hgVpSzuEg4;"Bagus berarti masih kuat anti bodinya,, vaksin itu kan harusnya ga boleh d paksa sprti kasus yg sdh terjadi knp” ga ada yg mau tanggung jawab, paling cuma ikut berduka cita aja setelah itu wassalam..
";neutral
"Ayo Vaksinasi💉
Sentra Vaksinasi MNC Peduli 
Yuk daftarkan dirimu dan orang terdekatmu untuk vaksin agar terlindungi… https://t.co/bUCI4wNroP";;positive
@fyxsch @bertanyarl Mjb, itu truk isi vaksin biar jadi zombie di film resident evil cmiiw;;negative
@bertanyarl ikut aja nder, vaksin bae;;positive
@bertanyarl Siapa ni yg kemaren nolak vaksin;;neutral
@gembuyys kalai udah vaksin terus 2hari kedepannya minum obat warung gapapa?;;neutral
@ywllkwon Masih bingnunggg kakkk wkwkwk, mau bikin apa buat sunuday 🤣🤣 ayoookkk huhuhu tpi aku belom vaksin jdi bel… https://t.co/7JYZdcO1eq;"Masih bingnunggg kakkk wkwkwk, mau bikin apa buat sunuday 🤣🤣 ayoookkk huhuhu tpi aku belom vaksin jdi belom bisa keluar luar🥲 bday nyong taun depan lagi kita ketemu
";neutral
Sertu Misdi Babinsa Koramil 06/Peusangan Kodim 0111/Bireuen melaksanakan pengamanan Serbuan Vaksin diSMAN 1 Peusang… https://t.co/6f69jQTNzI;"Sertu Misdi Babinsa Koramil 06/Peusangan Kodim 0111/Bireuen melaksanakan pengamanan Serbuan Vaksin diSMAN 1 Peusangan di Desa Blang Asan Kecamatan Peusangan Kabupaten Bireuen.Rabu (22/09/21)
";neutral
Dos ke-Tiga vaksin (booster) diberi kepada golongan berisiko tinggi - YAB Perdana Menteri Malaysia 🇲🇾… https://t.co/3YhBovl2DL;"Dos ke-Tiga vaksin (booster) diberi kepada golongan berisiko tinggi - YAB Perdana Menteri Malaysia 🇲🇾 
@IsmailSabri60


#KeluargaMalaysia";neutral
@ngudvut gua tiap abis vaksin tidurnya enak bat;;positive
Kelincimu sudah vaksin, sayangku 🐰 https://t.co/cuVQ5tS55b;Kelincimu sudah vaksin, sayangku 🐰;neutral
Wamenkeu Suahasil Nazara menjelaskan terdapat empat belanja prioritas di bidang kesehatan yang dilakukan pemerintah… https://t.co/N83rV0hsJQ;"Wamenkeu Suahasil Nazara menjelaskan terdapat empat belanja prioritas di bidang kesehatan yang dilakukan pemerintah dalam kondisi pandemi Covid-19, yakni infrastruktur, tenaga kesehatan, dukungan kesehatan, dan vaksin. 
@jokowi
";neutral
Tdnya tiap w mo treatment pasti bgt dah kehalang vaksin ato ga slot udah penuh hiks;;negative
"[Dari IG Story jkt48.celine 22/09/2021] 
-
@Celine_JKT48 aja udah vaksin, masa kamu belum? 😎 https://t.co/WBqa0uU9nX";;neutral
Info vaksin daerah bekasi dong gaes🙏;;neutral
@pwookyung huhuh u dah vaksin ke ??;;neutral
Sejumlah pihak, termasuk warganet menyayangkan tindakan Deddy Corbuzier yang ikut mengomentari para santri menutup… https://t.co/Xra1V72Sdk;"Sejumlah pihak, termasuk warganet menyayangkan tindakan Deddy Corbuzier yang ikut mengomentari para santri menutup kuping saat mendengarkan musik. Setelah ditelusuri, ternyata para santri tersebut sedang menghapal Alquran, sembari mengantre vaksin.

https://buff.ly/3EJsirk";neutral
@UPIfess Kalo ga salah ga perlu, asal nunjukin surat vaksin. Cmiiw;;neutral
habis vaksin dah u 😍;;positive
Guys, kalian udah vaksin belum? Dateng yuk ke Vaksinasi Sabuga, Tanggal 22 September 2021. Jangan Lupa abadikan mom… https://t.co/adeidqV6i5;"Guys, kalian udah vaksin belum? Dateng yuk ke Vaksinasi Sabuga, Tanggal 22 September 2021. Jangan Lupa abadikan momen kalian dengan upload ke media sosial dan tag 
@AXISgsm
 buat dapetin ekstra kuota 17 GB. Kita Tunggu ya!";positive
"Hari ini Vaksin 2 di tentrem mall 😎
Yey clear :) alhamdulillah ✨✨";;positive
"@FaheemYounus Stop vaksin. 
Sehat tanpa vaksin njur..njur..";;negative
Gua... Belum vaksin ribet bgt dh mau nonton doang;;negative
@unsrifess Vaksin 1 nder boleh;;neutral
abis vaksin, lemes bgt untung ditemenin pak umin😔💙;;negative
abis vaksin enaknya lihat lihat meja kerja https://t.co/cXXhNtuzAp;"abis vaksin enaknya lihat lihat meja kerja
";positive
@AREAJULID Elahh gua baru aja siap vaksin. Gak guna sertifikat vaksin gue;;negative
Ih asik bgt ak udh vaksin, bisa lanjalan ke salon dan mall deh abis ini☺💃🏻💃🏻💃🏻💃🏻💃🏻;;positive
Vaksin Covid-19 bermanfaat untuk memberi perlindungan tubuh agar tidak jatuh sakit akibat Covid-19 dengan cara meni… https://t.co/N9rPbz4Bpd;"Vaksin Covid-19 bermanfaat untuk memberi perlindungan tubuh agar tidak jatuh sakit akibat Covid-19 dengan cara menimbulkan kekebalan spesifik dalam tubuh.

#PercepatKekebalanKomunal
Tercapai Herd Immunity";positive
"#kualalumpur ""Baik yang pertengahan usia mahupun yang lebih muda, sesetengahnya hanya menerima satu dos manakala ya… https://t.co/RdMx1m4PVG";"#kualalumpur ""Baik yang pertengahan usia mahupun yang lebih muda, sesetengahnya hanya menerima satu dos manakala yang lain pula langsung tidak menerima sebarang dos vaksin."" 
https://hmetro.com.my/mutakhir/2021/09/757851/pengaruh-antivaksin-main-peranan-dalam-kematian-kes-covid-19

https://facebook.com/211591442051/posts/10159964080677052/?sfnsn=mo";neutral
"VAKSIN MERDEKA SERENTAK Pada 96 Di Seluruh Indonesia 22 September 2021

#VaksinasiMerdekaPolri https://t.co/GEJhHQ15C5";;neutral
Takutnye nk g vaksin esok😭😭😭;;negative
@ParpuKari yg dh fully vaksin la dpt...tgggu jadi ke x idea tu....;;neutral
Jelang PTM, Alumni AKABRI 1998 Gelar Vaksin Untuk Pelajar https://t.co/j9z62aqunn;;neutral
@dickybastiann “Cip” setelah vaksin yang dulu heboh bakalan ngontrol manusia, ternyata berbentuk aplikasi gan. 🤣 se… https://t.co/lrb2GEUaks;“Cip” setelah vaksin yang dulu heboh bakalan ngontrol manusia, ternyata berbentuk aplikasi gan. 🤣 semua akan jering pada waktunya 🤣🤣;negative
@Partono_ADjem Saya punya temen gitu juga, fafifu banget soal vaksin anak2, pdhl dia sendiri nikah pun belum apalagi punya anak 😁;;negative
@G4l_k3nku5 Kalau masa Pandemi habis sih (normal) ngga pake kartu vuksan vaksin vuksan vaksin.;;negative
@bertanyarl abis vaksin langsung jadi zombie astagfirullah ini harus dibagikan ke grup chat wa keluarga agar terhindar dari bahaya;;negative
@sbyfess Kartu ujian, deklarasi sehat, bukti vaksin, bukti rapid antigen/pcr, pensil, ktp;;neutral
Lah bener kemarin udah hopeless karena walau udah vaksin kedua tapi status di PeduliLindungi gak update2 😂… https://t.co/vfnrE5jNdS;"Lah bener kemarin udah hopeless karena walau udah vaksin kedua tapi status di PeduliLindungi gak update2 😂
";negative
meninjau pelaksanaan vaksin di gor rw 12 kel.mampang#giatcamatpanmas @pemkotdepok https://t.co/cfDR8fUvCy;"meninjau pelaksanaan vaksin di gor rw 12 kel.mampang#giatcamatpanmas 
@pemkotdepok";neutral
pala w puyeng bgt abis vaksin, bekas vaksin jg cenat cenut kek lagu smash;;negative
Kelincimu sudah vaksin, sayangku @ Surabaya https://t.co/kAMb6Tpqv7;Kelincimu sudah vaksin, sayangku 🐰;neutral
Pas gue mau vaksin bapak w nakut²in jangan vaksin (kena hoax video whatsapp) eh sekarang malah pengen vaksin gara² temen²nya pada vaksin😦🤨🙄😒;;positive
Giat Pengawalan Vaksin Covid-19 dari Dinkes Provinsi Sumsel Menuju Dinkes Polres Pagaralam Oleh Personil Polres Pag… https://t.co/VbGgwuwnPA;"Giat Pengawalan Vaksin Covid-19 dari Dinkes Provinsi Sumsel Menuju Dinkes Polres Pagaralam Oleh Personil Polres Pagaralam dan Personil

#polriuntukrakyat 
#sukseskanvaksinasi 
#bersamacegahcovid19";positive
@angelicjiminn__ masa kena cucuk tu tak sakit tapi bbrp jam lepastu dah rasa kebas and sakit, ak vaksin smlm and ra… https://t.co/RLd3l2dwC1;masa kena cucuk tu tak sakit tapi bbrp jam lepastu dah rasa kebas and sakit, ak vaksin smlm and rasa lg sakit tu harini and pening sikit , mengantuk + cepat lapar;negative
@_dashimanna Namun, wajib menggunakan aplikasi Peduli Lindungi yang terdapat data vaksin minimal dosis pertama (Bag… https://t.co/SEBQoq3ZEf;"Namun, wajib menggunakan aplikasi Peduli Lindungi yang terdapat data vaksin minimal dosis pertama (Bagi yang tidak menggunakan aplikasi Peduli Lindungi wajib menunjukkan kartu vaksin). |2
";neutral
